Id,SalePrice
1461,124233.84645046887
1462,155551.7601772906
1463,184785.52026390252
1464,182042.88686652953
1465,182394.24785912276
1466,169386.91551860116
1467,170020.10027642522
1468,161122.98260744353
1469,176111.04867568545
1470,122739.36505872049
1471,204799.64554092727
1472,92830.68536321161
1473,94713.41533244844
1474,144100.30853351802
1475,113518.18672415741
1476,365335.18008783646
1477,250156.25511341047
1478,296055.01831121073
1479,299634.7066366245
1480,475382.5665730874
1481,297904.9751241246
1482,204095.53099108377
1483,170279.1871506567
1484,160707.062614358
1485,171190.2558795141
1486,188936.5374404223
1487,323322.7559457057
1488,233119.3221470876
1489,207405.75024221514
1490,219409.91876262747
1491,182011.5390496959
1492,94850.08448378905
1493,187162.11930276302
1494,289265.4764498841
1495,283635.56781507033
1496,240387.10035196462
1497,180328.2290640591
1498,156645.05409589806
1499,157656.63059312146
1500,155602.60280080175
1501,173299.18147143704
1502,148677.99144465526
1503,281156.6505271912
1504,240704.7904427045
1505,222964.7988073351
1506,174369.1162042481
1507,225189.91617549508
1508,194204.1070070698
1509,153528.0400388239
1510,144954.2008171572
1511,140058.8035235447
1512,163380.4703219433
1513,134634.49840649514
1514,161566.88217824744
1515,177648.00391501974
1516,148244.79653497192
1517,155972.0724189715
1518,123953.89926746592
1519,224362.03621960664
1520,132027.87848079306
1521,133975.15163512604
1522,157503.67485896053
1523,108545.98450192943
1524,119095.52800330738
1525,119088.4039957171
1526,117389.67706671322
1527,97512.09035912898
1528,135385.80604620578
1529,141793.9764743956
1530,156394.8654784148
1531,112824.81460331871
1532,100490.05949561151
1533,136520.83795086044
1534,119799.56995819027
1535,156319.71930013617
1536,114802.14433514816
1537,73906.41727867001
1538,157266.2515555645
1539,192123.00545594704
1540,97278.28208348303
1541,139928.82758973137
1542,141315.12615148516
1543,210078.69459133522
1544,77346.84733161268
1545,110022.38831232363
1546,129748.6446337279
1547,138201.94493333326
1548,139621.36000256718
1549,110852.96430015453
1550,139053.64891864383
1551,110994.37679414402
1552,135914.45217658128
1553,150436.0704074101
1554,112069.9976506912
1555,172805.89337453578
1556,82607.06983115364
1557,104177.90907311371
1558,87400.43207306325
1559,91276.18329388677
1560,132452.10986894928
1561,135198.4133967054
1562,123181.19886132938
1563,117797.26532950073
1564,155863.49416442725
1565,152081.35232959298
1566,235027.4841739341
1567,68422.97769900014
1568,208112.0480327265
1569,120916.69282621947
1570,136101.81177260593
1571,126312.67867604397
1572,144706.1373873048
1573,244620.68454653228
1574,111602.0244048858
1575,212501.85803496744
1576,232519.35508742812
1577,196590.5186104435
